numStages,elapsedTime,executorRunTime,executorCpuTime,peakExecutionMemory,numNodes,numEdges,datasetSize,graphType
6,334268,1579629,680424,2018,18792,87682458,867.5699081420898,sf
6,343829,1354781,630068,1726,16409,75001696,722.3209114074707,sf
6,280191,721477,344234,1135,12226,49337924,455.15204906463623,sf
6,426793,1598129,623159,1722,17781,74822934,738.8690137863159,sf
6,187555,504285,280384,1066,13346,46320795,438.8546504974365,sf
6,355361,1133968,485500,1209,15974,52514473,516.9555463790894,sf
6,212101,821986,469798,1757,20464,76279646,776.4776906967163,sf
6,188197,625942,354962,1228,16106,53277862,525.0889329910278,sf
6,249108,754423,358487,1299,15202,56415426,545.08802318573,sf
6,311289,1075066,472545,1399,18912,60727020,615.2307825088501,sf
6,127661,519609,234375,1263,15452,54843946,533.6786937713623,sf
6,134969,593622,260653,1364,15051,59235960,567.8296737670898,sf
6,204628,527186,261252,1016,13487,44135191,419.9331703186035,sf
6,245497,989849,458384,1570,20235,68088780,695.023027420044,sf
6,368434,1572518,659719,1995,21260,86596614,882.2717123031616,sf
6,310197,1266825,578614,1644,20552,71327626,728.7142782211304,sf
6,227179,1041301,550226,2063,20038,89604108,899.6284255981445,sf
6,329815,1312630,624926,1821,17342,79147666,772.0427856445312,sf
6,437185,1923853,770752,1933,21538,83882925,858.0502119064331,sf
6,274468,882720,412613,1483,17773,64434903,642.8273181915283,sf
6,284438,923255,417170,1334,14300,57977914,549.0387535095215,sf
6,416183,2120163,932274,2031,19117,88091136,910.4875736236572,sw
6,197946,600695,353574,1188,13422,51594168,508.9927644729614,sw
6,260800,757010,378123,1205,12303,52336962,508.79895973205566,sw
6,431926,1851352,715947,1876,21454,81353568,850.6633710861206,sw
6,315792,1297746,598070,1675,16300,72698000,737.4554176330566,sw
6,441685,2162262,958444,2216,19504,96154720,995.9319686889648,sw
6,420297,2036153,871452,2099,19782,91036764,944.3118362426758,sw
6,408554,2172014,999027,2478,19817,107527042,1115.569977760315,sw
6,378041,1795173,784366,2109,17776,91510848,938.1606111526489,sw
6,205322,566265,335037,1032,12657,44805780,437.746488571167,sw
6,342716,1483817,718672,2033,16682,88281144,898.1537313461304,sw
6,327862,1253502,607544,1590,16587,69001920,701.5139322280884,sw
